key,value
city,Warszawa
temp,1.36
description,zachmurzenie umiarkowane
pressure,1037
date,2023-01-23 19:37:59
key,value
city,Warszawa
temp,1.36
description,zachmurzenie umiarkowane
pressure,1037
date,2023-01-23 21:52:39
key,value
city,Warszawa
temp,1.36
description,zachmurzenie umiarkowane
pressure,1037
date,2023-01-23 21:53:59
